periodo;valC;valS;valH;valD
2024;16;960;127;1959
2023;15;954;144;2050
2022;15;945;163;2051
2021;15;942;154;1993
2020;14;946;142;1830
2019;14;945;148;1790
2018;14;950;164;1821
2017;14;962;173;1734
2016;13;981;163;1680
2015;13;1000;143;1834
2014;13;985;160;2130
2013;13;996;170;2164
2012;13;986;158;2561
2011;13;999;152;2213
2010;12;1009;137;2362
2009;12;996;156;2448
2008;12;981;174;2125
2007;12;994;188;1768
2006;11;991;184;1832
2005;11;991;191;1713
2004;11;990;198;1650
2003;10;989;204;1558
2002;10;988;211;1598
2001;10;988;218;1450
2000;9;987;225;1420
1999;9;986;231;1400
