periodo;valC;valS;valH;valD
2024;3.50;150;0.10;19000
2023;3.45;148;0.09;18500
2022;3.40;146;0.09;18000
2021;3.35;144;0.08;17500
2020;3.30;142;0.08;17000
2019;3.35;144;0.09;17500
2018;3.40;146;0.09;18000
2017;3.45;148;0.09;18500
2016;3.50;150;0.10;19000
2015;3.55;152;0.10;19500
2014;3.60;154;0.11;20000
2013;3.65;156;0.11;20500
2012;3.70;158;0.12;21000
2011;3.75;160;0.12;21500
2010;3.80;162;0.13;22000
2009;3.85;164;0.13;22500
2008;3.90;166;0.14;23000
2007;3.95;168;0.14;23500
2006;4.00;170;0.15;24000
2005;4.05;172;0.15;24500
2004;4.10;174;0.16;25000
2003;4.15;176;0.16;25500
2002;4.20;178;0.17;26000
2001;4.25;180;0.17;26500
2000;4.30;182;0.18;27000
