periodo;valC;valS;valH;valD
2024;150;800;25;950
2023;145;780;24;930
2022;140;760;23;910
2021;135;740;22;890
2020;130;720;21;870
2019;135;740;22;890
2018;140;760;23;910
2017;145;780;24;930
2016;150;800;25;950
2015;155;820;26;970
2014;160;840;27;990
2013;165;860;28;1010
2012;170;880;29;1030
2011;175;900;30;1050
2010;180;920;31;1070
2009;185;940;32;1090
2008;190;960;33;1110
2007;195;980;34;1130
2006;200;1000;35;1150
2005;205;1020;36;1170
2004;210;1040;37;1190
2003;215;1060;38;1210
2002;220;1080;39;1230
2001;225;1100;40;1250
2000;230;1120;41;1270
